author_1_name,author_2_name,year,collaboration_count
"Hernández-Leo, D.","Alkhasawneh, S. N.",2026,2
"Silvis, D.","Ashineh, A.",2026,2
"Walton, D.","Weiss, R.",2026,2
"Guo, D.","Sherafat, A.",2026,2
"Guo, D.","Ding, L.",2026,2
"Dancer, D.","Yu, W.",2026,2
"Paré, D.","Ahmadi, H.",2026,2
"Paré, D.","Xie, X.",2026,2
"McGivney, E.","Kleinman, E.",2026,2
"McGivney, E.","Olarinde, O.",2026,2
"Quintana, E.","Mills, T.",2026,2
"Shokeen, E.","Jensen, A. V.",2026,2
"Kerzabi, E.","Guo, E.",2026,2
"Reigh, E. V.","Jadallah, C.",2026,2
"Reigh, E. V.","Daus, L.",2026,2
"Bumbacher, E.","El-Hamamsy, L.",2026,2
"Shtaingart, E.","Sliman, L.",2026,2
"Ke, F.","Barrett, A.",2026,2
"Ke, F.","Kim, C.",2026,2
"Ke, F.","Zhang, N.",2026,2
"Ke, F.","Bhowmik, S.",2026,2
"Ke, F.","Yuan, X.",2026,2
"Chen, G.","Chai, C. S.",2026,2
"Zhu, G.","Sun, D.",2026,2
"Bae, H.","Weiss, R.",2026,2
"Li, H.","Wells, R. G.",2026,2
"Li, H.","Bian, Z.",2026,2
"Kang, H.","Shin, M.",2026,2
"Kang, H.","Tsai, N.",2026,2
"Hong, H.","Seet, C. H.",2026,2
"Hong, H.","Chang, C.",2026,2
"Hong, H.","Chen, Y.",2026,2
"Hong, H.","Lin, Y.",2026,2
"Yang, H.","Mielicki, M.",2026,2
"Lee, H.","Dancer, D.",2026,2
"Lee, H.","Yu, W.",2026,2
"So, H.","Ko, Y.",2026,2
"Kollar, I.","Hornstein, J.",2026,2
"Kollar, I.","Greisel, M.",2026,2
"Tabak, I.","Alcasid, G. A. L.",2026,2
"Park, J.","Weiss, R.",2026,2
"Jacobs, J.","Tayne, J. B.",2026,2
"Lee, J.","Song, Y.",2026,2
"Clyde, J.","Poppendorf, A.",2026,2
"Clyde, J.","Poppendorf, A.",2026,2
"Clyde, J.","Gierus, B.",2026,2
"Andrews-Todd, J.","Lee, J.",2026,2
"Andrews-Todd, J.","Song, Y.",2026,2
"Shumway, J.","Ashineh, A.",2026,2
"Hao, J.","Kerzabi, E.",2026,2
"Hao, J.","Guo, E.",2026,2
"Hao, J.","Kyllonen, P.",2026,2
"Zhang, J.","Sherafat, A.",2026,2
"Zhang, J.","Isaac, A.",2026,2
"Zhang, J.","Guo, D.",2026,2
"Zhang, J.","Ding, L.",2026,2
"Zhang, J.","Underwood, T.",2026,2
"Kim, J.","Yang, G.",2026,2
"Kim, J.","Li, N.",2026,2
"Clarke-Midura, J.","Ashineh, A.",2026,2
"Huang, J.","Ozturk, D.",2026,2
"Huang, J.","Barnes, T.",2026,2
"Huang, J.","Tian, X.",2026,2
"Donaldson, J. P.","Liaqat, M.",2026,2
"Park, J.","Jordan, M.",2026,2
"Danish, J.","Silver, C. E. H.",2026,2
"Danish, J.","Humburg, M.",2026,2
"Danish, J.","Steinberg, S.",2026,2
"Danish, J.","Kim, Y. J.",2026,2
"Svoboda, J.","Wang, Y.",2026,2
"Oshima, J.","Lu, J.",2026,2
"Oshima, J.","Naganuma, S.",2026,2
"Shanghvi, K.","TG, L.",2026,2
"Miller, K. M.","Dorsey, C.",2026,2
"Holliday, K. H.","Aniceto, R.",2026,2
"Ramey, K. E.","Shoraka, Z. B.",2026,2
"Mills, K.","Dunbar, K.",2026,2
"Yasutake, K.","Inoue, H.",2026,2
"Stamatis, K.","Polman, J. L.",2026,2
"Vogelstein, L.","Daniel, B.",2026,2
"Vogelstein, L.","Vogel, S.",2026,2
"Rosenbaum, L. F.","Pritchard, C.",2026,2
"Ding, L.","Sherafat, A.",2026,2
"Hadar, L.","Shtaingart, E.",2026,2
"Hadar, L.","Sliman, L.",2026,2
"Pollock, L.","Mead, H.",2026,2
"Lawrence, L.","Garg, I.",2026,2
"Lawrence, L.","Kwiatek, S.",2026,2
"Martín, M. S.","Turmo, M. P.",2026,2
"Greisel, M.","Hornstein, J.",2026,2
"Rau, M. A.","Müller, C. H.",2026,2
"Wenderoth, M. P.","Branchaw, J. L.",2026,2
"Babaee, M.","Esmaeiligoujar, S.",2026,2
"Lira, M.","Demir-Lira, E.",2026,2
"Humburg, M.","Kim, Y. J.",2026,2
"Wiedbusch, M.","Brosnihan, A.",2026,2
"Wiedbusch, M.","Marano, C.",2026,2
"Chen, M.","Chen, Y.",2026,2
"Chen, M.","Lin, Y.",2026,2
"Coenraad, M.","Jacob, S.",2026,2
"Lui, M.","Gong, S.",2026,2
"Tissenbaum, M.","Hopping, D.",2026,2
"Nathan, M. J.","Kim, D.",2026,2
"Nathan, M. J.","Swart, M. I.",2026,2
"Ko, M. M.","Heskett, C.",2026,2
"Li, N.","Yang, G.",2026,2
"Tsai, N.","Shin, M.",2026,2
"Hoang, N.","Tayne, J. B.",2026,2
"Mathayas, N.","Mouza, C.",2026,2
"Mathayas, N.","Mead, H.",2026,2
"Mathayas, N.","Pollock, L.",2026,2
"Alozie, N.","Mielicki, M.",2026,2
"Noushad, N. F.","Chinn, C. A.",2026,2
"Noushad, N. F.","Chinn, C.",2026,2
"Noushad, N. F.","Abidi, H. H.",2026,2
"Noushad, N. F.","Hussain-Abidi, H.",2026,2
"Olarinde, O.","Kleinman, E.",2026,2
"Sagy, O.","Aridor, K.",2026,2
"Sagy, O.","Atias, O.",2026,2
"Atias, O.","Aridor, K.",2026,2
"Kyllonen, P.","Kerzabi, E.",2026,2
"Kyllonen, P.","Guo, E.",2026,2
"Blikstein, P.","Eloy, A.",2026,2
"Blikstein, P.","Rosenbaum, L. F.",2026,2
"Blikstein, P.","Lemée, M.",2026,2
"Dillenbourg, P.","Davis, R. L.",2026,2
"Dillenbourg, P.","Tormey, R.",2026,2
"Dillenbourg, P.","Cai, Z.",2026,2
"Li, Q.","Xu, D.",2026,2
"Bastani, R.","Poppendorf, A.",2026,2
"Bastani, R.","Poppendorf, A.",2026,2
"Bastani, R.","Gierus, B.",2026,2
"Davis, R. L.","Tormey, R.",2026,2
"Davis, R. L.","Cai, Z.",2026,2
"Wegerif, R.","Casebourne, I.",2026,2
"Wegerif, R.","Chen, X.",2026,2
"Puntambekar, S.","Cang, X.",2026,2
"Ismael, S.","Branchaw, J. L.",2026,2
"Ismael, S.","Wenderoth, M. P.",2026,2
"Murthy, S.","Singh, A. P.",2026,2
"Murthy, S.","Karnam, D.",2026,2
"Esmaeiligoujar, S.","Ercan, D.",2026,2
"Esmaeiligoujar, S.","Li, H.",2026,2
"Vogel, S.","Daniel, B.",2026,2
"Benjamin, S.","Svoboda, J.",2026,2
"Benjamin, S.","Wang, Y.",2026,2
"Steinberg, S.","Cruz-Gonzalez, C.",2026,2
"Steinberg, S.","Zhou, M.",2026,2
"Steinberg, S.","Lau, N. G.",2026,2
"Lee, S.","Choa, H.",2026,2
"Lee, S. B.","Hamilton, E. R.",2026,2
"Rahimi, S.","Ercan, D.",2026,2
"Rahimi, S.","Babaee, M.",2026,2
"Kayumova, S.","Kahveci, E. N.",2026,2
"Karumbaiah, S.","Guha, A.",2026,2
"Jacob, S.","Burke, Q.",2026,2
"Kashi, S.","Segev, Y.",2026,2
"Kwiatek, S.","Garg, I.",2026,2
"Dabholkar, S.","Svoboda, J.",2026,2
"Dabholkar, S.","Benjamin, S.",2026,2
"Dabholkar, S.","Wang, Y.",2026,2
"Yoon, S. A.","Cottone, A. M.",2026,2
"Yoon, S. A.","Chinn, C. A.",2026,2
"Yoon, S. A.","Chinn, C.",2026,2
"Yoon, S. A.","Li, H.",2026,2
"Yoon, S. A.","Kwon, H. S.",2026,2
"Yoon, S. A.","Abidi, H. H.",2026,2
"Yoon, S. A.","Hussain-Abidi, H.",2026,2
"Yoon, S. A.","Wells, R. G.",2026,2
"Yoon, S. A.","Bian, Z.",2026,2
"Fuhrmann, T.","Eloy, A.",2026,2
"Sumner, T.","Jacobs, J.",2026,2
"Tate, T.","Harnick-Shapiro, B.",2026,2
"Tate, T.","Tseng, W.",2026,2
"Underwood, T.","Sherafat, A.",2026,2
"Underwood, T.","Guo, D.",2026,2
"Underwood, T.","Ding, L.",2026,2
"Barnes, T.","Ozturk, D.",2026,2
"Barnes, T.","Tian, X.",2026,2
"Goldberg, T.","Shtaingart, E.",2026,2
"Goldberg, T.","Sliman, L.",2026,2
"Goldberg, T.","Hadar, L.",2026,2
"Aldemir, T.","Bicer, A.",2026,2
"Aldemir, T.","Song, D.",2026,2
"Aldemir, T.","Sabanwar, V.",2026,2
"Delaney, V.","Adisa, I. O.",2026,2
"Delaney, V.","Holliday, K. H.",2026,2
"Delaney, V.","Aniceto, R.",2026,2
"Sabanwar, V.","Bicer, A.",2026,2
"Sabanwar, V.","Song, D.",2026,2
"Xing, W.","Kim, T.",2026,2
"Xing, W.","Liu, Z.",2026,2
"Tseng, W.","Harnick-Shapiro, B.",2026,2
"Yan, W.","Dancer, D.",2026,2
"Yan, W.","Lee, H.",2026,2
"Yan, W.","Yu, W.",2026,2
"Tian, X.","Ozturk, D.",2026,2
"Yuan, X.","Kim, C.",2026,2
"Xie, X.","Ahmadi, H.",2026,2
"Hou, X.","Ericson, B. J.",2026,2
"Wang, X.","Ericson, B. J.",2026,2
"Wang, X.","Hou, X.",2026,2
"Chen, X.","Casebourne, I.",2026,2
"Feng, X.","Sun, J.",2026,2
"Kali, Y.","Aridor, K.",2026,2
"Kali, Y.","Sagy, O.",2026,2
"Kali, Y.","Atias, O.",2026,2
"Kafai, Y. B.","Noh, D. J.",2026,2
"Chen, Y.","Lin, Y.",2026,2
"Zhang, Y.","Xin, H.",2026,2
"Chen, Y.","Park, J.",2026,2
"Chen, Y.","Jordan, M.",2026,2
"Zhao, Y.","Weiss, R.",2026,2
"Hod, Y.","Kashi, S.",2026,2
"Hod, Y.","Segev, Y.",2026,2
"Hayashi, Y.","Shimojo, S.",2026,2
"Yang, Y.","Zhu, G.",2026,2
"Yang, Y.","Sun, J.",2026,2
"Bian, Z.","Wells, R. G.",2026,2
"Cai, Z.","Tormey, R.",2026,2
"Liu, Z.","Wei, S.",2026,2
"Jiang, Z.","Xu, D.",2026,2
"Jiang, Z.","Li, Q.",2026,2
"Jurow, A. S.","Chen, W.",2026,1
"Bisht, A.","Long, J.",2026,1
"Bisht, A.","Ludovise, S.",2026,1
"Bisht, A.","Williams, T.",2026,1
"Gonzalez, A.","Roxburgh, A.",2026,1
"Reisman, A.","Hardy, A.",2026,1
"Reisman, A.","Iwatani, E.",2026,1
"Reisman, A.","Phillips, R. S.",2026,1
"Reisman, A.","Daal, S.",2026,1
"Reisman, A.","Leones, T.",2026,1
"Williams, A. A.","Ross, S. H.",2026,1
"Bergman, A. J.","Bers, M. U.",2026,1
"Banks, A.","Sobomehin, O. A.",2026,1
"Banks, A.","Sobomehin, O. M.",2026,1
"Lefstein, A.","Hakak-Koll, T.",2026,1
"Papendieck, A.","Pierce, R. A.",2026,1
"Sherlock, A.","Scheirer, C.",2026,1
"Sherlock, A.","Beale, J.",2026,1
"Sherlock, A.","Desportes, K.",2026,1
"Vinn, A.","Reitz, A. J.",2026,1
"Vinn, A.","McConnell, C.",2026,1
"Vinn, A.",Chayapol,2026,1
"Kothiyal, A.","Velayudhan, A.",2026,1
"Kothiyal, A.","Singh, A. P.",2026,1
"Kothiyal, A.",Carolina,2026,1
"Kothiyal, A.","Karnam, D.",2026,1
"Kothiyal, A.","Murthy, S.",2026,1
"Wagh, A.","Wilkerson, M. H.",2026,1
"Wagh, A.","Lopes, R. D. D.",2026,1
"Vishwanath, A.","Wang, Y.",2026,1
"Quirós-Arauz, A.","Ho, L.",2026,1
"Vanderslik, A.","Branchaw, J. L.",2026,1
"Vanderslik, A.","Wenderoth, M. P.",2026,1
"Vanderslik, A.","Ismael, S.",2026,1
"Vanderslik, A.","Vemu, S.",2026,1
"Khanlari, A.","Tsuji, W.",2026,1
"Olsson, A.","Sconiers, W.",2026,1
"Olsson, A.","Nassif, W.",2026,1
"Chen, A.","Xu, E.",2026,1
"Welch, A.","Oluwajoba, I.",2026,1
"Saini, A. K.","Hughes, C.",2026,1
"Adediji, A.","Lee, J.",2026,1
"Nagarajan, A.","Valente, A. B.",2026,1
"Nagarajan, A.",Anna,2026,1
"Sherafat, A.","Isaac, A.",2026,1
"Sherafat, A.","Qi, W.",2026,1
"Sherat, A.","Foster, J. K.",2026,1
"Li, A. W.","Xu, D.",2026,1
"Li, A. W.","Li, Q.",2026,1
"Magana, A. J.","Li, T.",2026,1
"Clausen, A.","Craig, A.",2026,1
"Velayudhan, A.","Nagarajan, A.",2026,1
"Velayudhan, A.","Valente, A. B.",2026,1
"Velayudhan, A.",Anna,2026,1
"Velayudhan, A.",Carolina,2026,1
"Velayudhan, A.","Shanghvi, K.",2026,1
"Velayudhan, A.","TG, L.",2026,1
"Velayudhan, A.","Pathan, R.",2026,1
"Velayudhan, A.","Satavlekar, S.",2026,1
"Napoli, A.","Smith, J.",2026,1
"Napoli, A.","Fathinezhad, K.",2026,1
"Napoli, A.","Haber, N.",2026,1
"Napoli, A.","Wu, Z.",2026,1
"Rangel, A.","Dunbar, K.",2026,1
"Barrett, A.","Kim, C.",2026,1
"Barrett, A.","Shin, R.",2026,1
"Barrett, A.","Southerland, S.",2026,1
"Lưu, A.","Kopcha, T. J.",2026,1
"Poppendorf, A.","Rahul, S. C.",2026,1
"Waugh, A.",Aeryn,2026,1
"Waugh, A.","Vanderslik, A.",2026,1
"Waugh, A.","Doherty, J. H.",2026,1
"Waugh, A.","Vemu, S.",2026,1
"Chakarov, A. G.","Benedis-Grab, G.",2026,1
"Poppendorf, A.","Overholser, J.",2026,1
"Coles, A.",Heather,2026,1
"Coles, A.","Rotem, S.",2026,1
"Coles, A.","Scheiner, T.",2026,1
"Artiles, A. J.","Ito, M.",2026,1
"Keramati, A.","Mohammadi, I.",2026,1
"Keramati, A.","Rismanchian, S.",2026,1
"Naveed, A.","Almanza, A.",2026,1
"Naveed, A.","Sirivella, A.",2026,1
"Guha, A.","Hedit, E. B.",2026,1
"Guha, A.",Mariana,2026,1
"Guha, A.","Choudhary, S.",2026,1
"Zandi, A. S.","Isheqlou, L. K.",2026,1
"Superfine, A. C.","Alipour, F.",2026,1
"Nelson, A.","Babb, A. P. P.",2026,1
"Hall, A.","Ellis, C.",2026,1
"Hall, A.","Goldman, S. R.",2026,1
"Kasahara, A.",Diana,2026,1
"Kasahara, A.","Harsch, R. M.",2026,1
"Kasahara, A.","Landeros, T.",2026,1
"Wise, A.","Malcolm, B.",2026,1
"Wise, A.","Hernández-Leo, D.",2026,1
"Wise, A.","Li, F.",2026,1
"Wise, A.","Arnseth, H. C.",2026,1
"Wise, A.","Worsley, M.",2026,1
"Wise, A.","Simon, S.",2026,1
"Wise, A.","Ludvigsen, S.",2026,1
"Wise, A.","Vea, T.",2026,1
"Desai, A.","Bai, E.",2026,1
"Desai, A.","Sheng, J.",2026,1
"Desai, A.","Beyersdorf, K.",2026,1
"Cowell, A.","Jeganathan, K.",2026,1
"Cowell, A.","Saleem, M.",2026,1
"Cowell, A.","Majewski, R.",2026,1
"Wortman, A.","Banks, R.",2026,1
"Wortman, A.","Stephenson, S. P.",2026,1
"Rohana, A.","Pizarro, A. O.",2026,1
"Rohana, A.","Farra, J.",2026,1
"Rohana, A.","Chang, M.",2026,1
"Armstrong, A.","Kasahara, A.",2026,1
"Armstrong, A.",Diana,2026,1
"Armstrong, A.","Harsch, R. M.",2026,1
"Armstrong, A.","Landeros, T.",2026,1
"Armstrong, A.","Marupudi, V.",2026,1
"Cesare, A. M.","Hill, K. M.",2026,1
"Zandieh, A.","Sawaya, S.",2026,1
"Singh, A. P.",Carolina,2026,1
"Singh, A. P.","Pathan, R.",2026,1
"Eguchi, A.","Kroeger, E.",2026,1
"Ko, A. J.","Edgar, B.",2026,1
"Ko, A. J.","Sherif, E.",2026,1
"Ko, A. J.","Kivuva, F. M.",2026,1
"Ko, A.","Li, M.",2026,1
"Farris, A. V.","Cesare, A. M.",2026,1
"Farris, A. V.","Hill, K. M.",2026,1
"Ashineh, A.","Lee, B.",2026,1
"Ashineh, A.","Lund, C.",2026,1
"Marin, A.","Davé, S.",2026,1
"Vasquez, A. M.","Thorn, S.",2026,1
"Betts, A.","Ryon, B.",2026,1
"Betts, A.","Laski, E. V.",2026,1
"Betts, A.","Gunderia, S.",2026,1
"Mørch, A.","Tjønn, H.",2026,1
"Bustamante, A. S.","Pesch, A.",2026,1
"Bustamante, A. S.","Salazar, J.",2026,1
"Bustamante, A. S.","Ochoa, K. D.",2026,1
"Bustamante, A. S.","Anderson-Coto, M. J.",2026,1
"Phuong, A. E.","Kildegaard, B. W.",2026,1
"Phuong, A. E.","Hofstetter, C. H.",2026,1
"Phuong, A. E.","Huang, F.",2026,1
"Assunção, A. M. D. L.","Sotério, C.",2026,1
"Assunção, A. M. D. L.","Sanchez, L. P.",2026,1
"Assunção, A. M. D. L.","Edelstein, M. L.",2026,1
"Assunção, A. M. D. L.","Zapata, P. D.",2026,1
"Jensen, A. V.","Dindler, C.",2026,1
"Jensen, A. V.","Surrow, I. M.",2026,1
"Jensen, A. V.","Petersen, M. G.",2026,1
"Jensen, A. V.","Liu, Y. Y.",2026,1
"Pizarro, A. O.","Farra, J.",2026,1
"Hardy, A.","Iwatani, E.",2026,1
"Hardy, A.","Phillips, R. S.",2026,1
"Hardy, A.","Daal, S.",2026,1
"Hardy, A.","Leones, T.",2026,1
"Dominguez, A.","Zavala, G.",2026,1
"Sirivella, A.","Almanza, A.",2026,1
"Bhatt, A.","Pant, K.",2026,1
"Bhatt, A.","Upreti, L.",2026,1
"Valente, A. B.",Anna,2026,1
"Shao, A. A.","Pollati, C.",2026,1
"Shao, A. A.","Hendrix, J. O.",2026,1
"Shao, A. A.","Holford, M.",2026,1
"Shao, A. A.","Shang, N. P.",2026,1
"Queiroz, A. C. M.","Yeykelis, L.",2026,1
"Queiroz, A. C. M.","Holm, M. P. P. M.",2026,1
"Jennerjohn, A.",Douglas,2026,1
"Keune, A.","Staples, H.",2026,1
"Keune, A.","Kumpulainen, K.",2026,1
"Keune, A.","DiCioccio, M.",2026,1
"Keune, A.","Thompson, N.",2026,1
"Keune, A.","Kim, S.",2026,1
"Keune, A.","Simšič, I.",2026,1
"Bartel, A. N.","Barrett, D.",2026,1
"Bartel, A. N.","Powers, J.",2026,1
"Bartel, A. N.","Davenport, J. L.",2026,1
"Bartel, A. N.","Walters, K.",2026,1
"Bartel, A. N.","Hsu, V.",2026,1
"Pirner, A.",Shiva,2026,1
"Shao, A.","Chatufale, G.",2026,1
"Shao, A.","Sargent, K.",2026,1
"Brosnihan, A.","Pirner, A.",2026,1
"Brosnihan, A.","Schulz, L.",2026,1
"Brosnihan, A.","Patel, M.",2026,1
"Brosnihan, A.",Shiva,2026,1
"Zhou, A.","Baer, C.",2026,1
"Zhou, A.","Hui, J.",2026,1
"Zhou, A.","Seefeldt, K.",2026,1
"Zhou, A.","Sanifu, L.",2026,1
"Zhou, A.","Dillahunt, T. R.",2026,1
"Errichetti, A.","Shokare, E.",2026,1
"Errichetti, A.","Osberg, H.",2026,1
"Errichetti, A.","Vetter, J.",2026,1
"Botelho, A. F.","Zambrano, A. F.",2026,1
"Botelho, A. F.","Closser, A.",2026,1
"Botelho, A. F.","Schroeder, N. L.",2026,1
"Wheeler, A.","Ryoo, J.",2026,1
"Kajamaa, A.","Rivero, E.",2026,1
"Ramanathan, A.","Kanase, K.",2026,1
"Jaiswal, A.","Ashish, A.",2026,1
"Mawasi, A.","Rohana, A.",2026,1
"Mawasi, A.","Pizarro, A. O.",2026,1
"Mawasi, A.","Farra, J.",2026,1
"Mawasi, A.","Chang, M.",2026,1
"Hock, A.","Lipscomb, K.",2026,1
"Hock, A.","Curinga, M. X.",2026,1
"Hock, A.","Sherard, M.",2026,1
"Ravitch, A.","Brown, S.",2026,1
"Han, A.","Fernandez-Reyes, D.",2026,1
"Han, A.","Tsivkovski, D.",2026,1
"Han, A.","Ravel, D.",2026,1
"Han, A.","Teav, K.",2026,1
"Han, A.","Min, L.",2026,1
"Han, A.","Etezadbrojerdi, M.",2026,1
"Han, A.","Joshi, R.",2026,1
"Rachmatullah, A.","Roy, A.",2026,1
"Rachmatullah, A.","Jennerjohn, A.",2026,1
"Rachmatullah, A.",Douglas,2026,1
"Rachmatullah, A.","Mislevy, J.",2026,1
"Rachmatullah, A.","Thomas, K.",2026,1
"Rachmatullah, A.","Mielicki, M. K.",2026,1
"Rachmatullah, A.","Mensah-Boateng, T.",2026,1
"Zaidi, A.","Sato, C.",2026,1
"Zaidi, A.","Barbareschi, G.",2026,1
"Zaidi, A.","Yamaoka, J.",2026,1
"Zaidi, A.","Okita, S. Y.",2026,1
"Cortez, A.","Higgs, J. M.",2026,1
"Cortez, A.","Vakhil, S.",2026,1
"Cortez, A.","Paik, W.",2026,1
"Shahab, A.","Du, H.",2026,1
"Shahab, A.","Li, Y.",2026,1
"Bawankule, A.","Hopping, D.",2026,1
"Bawankule, A.",Nathan,2026,1
"Bawankule, A.","Ospina-Tabares, S.",2026,1
"Pierson, A. E.","Keifert, D. T.",2026,1
"S, A. T.","Fonteles, J.",2026,1
"S, A. T.","Prasanna, S. M.",2026,1
"Sezen-Barrie, A.","Karumanthra, A.",2026,1
"Sezen-Barrie, A.","McCraner, B.",2026,1
"Sezen-Barrie, A.","Levenson, L.",2026,1
"Sezen-Barrie, A.","Huang, Y.",2026,1
"Alaoui, A. Y.","Lajos, J.",2026,1
"Behboudi, A.","Zahid, O.",2026,1
"Harris, A. L.","Jackson, J.",2026,1
"Reitz, A. J.","McConnell, C.",2026,1
