dimension,label_value,paper_count_density,cross_label_centrality,median_density_threshold,median_centrality_threshold,callon_quadrant
conceptualisation,Multimodal Learning Analytics (MMLA),85,42,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Productive Failure & Problem Solving,33,40,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,"Racial Equity, Power & Social Justice",180,46,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Scaffolding & Guided Inquiry,381,50,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
conceptualisation,Self-Regulated Learning (SRL) & Metacognition,171,44,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
conceptualisation,Spatial Reasoning & Manipulation,17,20,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
setting,Higher Education,713,50,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
setting,Informal / Out-of-School,265,48,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
setting,K-12 Elementary,282,46,232,47,"Quadrant II: Niche Themes (High Density, Low Centrality)"
setting,K-12 Secondary,754,50,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
setting,Online / Hybrid,118,42,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
setting,Theoretical / Unspecified,3051,45,232,47,"Quadrant II: Niche Themes (High Density, Low Centrality)"
setting,Workplace / Professional,512,50,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
subject,"Humanities, Language & Literacy",722,51,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
subject,Interdisciplinary & General,2691,46,232,47,"Quadrant II: Niche Themes (High Density, Low Centrality)"
subject,STEM - Computer Science & Coding,1012,51,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
subject,STEM - Engineering & Robotics,353,51,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
subject,STEM - Mathematics,535,51,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
subject,STEM - Natural Science,700,50,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
subject,Social & Civic Studies,281,49,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_ck,"Humanities, Language & Literacy",722,51,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_ck,Interdisciplinary & General,2691,46,232,47,"Quadrant II: Niche Themes (High Density, Low Centrality)"
tpack_ck,STEM - Computer Science & Coding,1012,51,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_ck,STEM - Engineering & Robotics,353,51,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_ck,STEM - Mathematics,535,51,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_ck,STEM - Natural Science,700,50,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_ck,Social & Civic Studies,281,49,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_pk,Co-Design & Participatory,300,49,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_pk,Collaborative & CSCL,552,49,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_pk,Game-Based & Playful,127,45,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
tpack_pk,General / Reflective,3908,43,232,47,"Quadrant II: Niche Themes (High Density, Low Centrality)"
tpack_pk,Inquiry-Based & Problem-Solving,220,50,232,47,"Quadrant III: Basic & Transversal (Low Density, High Centrality)"
tpack_pk,Peer Argumentation & Discourse,217,48,232,47,"Quadrant III: Basic & Transversal (Low Density, High Centrality)"
tpack_pk,Productive Failure,33,40,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
tpack_pk,Scaffolded & Guided,312,49,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_tk,Analytics & Dashboards,147,44,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
tpack_tk,Block-based Coding & Authoring,55,36,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
tpack_tk,Collaborative Platforms & Forums,116,43,232,47,"Quadrant IV: Emerging / Declining (Low Density, Low Centrality)"
tpack_tk,Generative AI & LLMs,232,49,232,47,"Quadrant I: Motor Themes (High Density, High Centrality)"
tpack_tk,Immersive VR / AR,209,48,232,47,"Quadrant III: Basic & Transversal (Low Density, High Centrality)"
tpack_tk,Non-digital / Unspecified,4327,44,232,47,"Quadrant II: Niche Themes (High Density, Low Centrality)"
tpack_tk,Robotics & Tangibles,171,48,232,47,"Quadrant III: Basic & Transversal (Low Density, High Centrality)"
tpack_tk,Simulations & Scientific Modeling,293,46,232,47,"Quadrant II: Niche Themes (High Density, Low Centrality)"
